AED,UAE Dirham,Dirham des êAUnis,Dirham de los EµU,VAE-Dirham,Dirham dos Emirados
XBA,Bond Markets Units European Composite Unit (EURCO),UnitÇ EuropÇenne ComposÇe (EURCO),European Composite Unit (EURCO),Bond Markets Units European Composite Unit (EURCO),European Composite Unit (EURCO)
XBB,European Monetary Unit (E.M.U.-6),UnitÇ MonÇtaire EuropÇenne (U.M.E.-6 monnaie),European Monetary Unit (E.M.U.-6),European Monetary Unitˇ(E.M.U.-6),European Monetary Unit (E.M.U.-6) 
XBC,European Unit of Account 9(E.U.A.-9),UnitÇ de Compte 9 (U.E.C.-9 monnaie),European Unit of Account 9 (E.U.A.-9),European Unit of Accountˇ9 (E.U.A.-9),European Unit of Account 9 (E.U.A.-9) 
XBD,European Unit of Account 17(E.U.A.-17),UnitÇ de Compte 17(U.E.C.-17 monnaie),European Unit of Account 17 (E.U.A.-17),European Unit of Account 17 (E.U.A.-17),European Unit of Account 17 (E.U.A.-17) 
XCD,East Caribbean Dollar,Dollar des Caraãbes orientales,D¢lar del Caribe Oriental,Ostkaribischer Dollar,D¢lar das Cara°bas Orientais
XDR,SDR,Droit de Tirage SpÇcial (D.T.S.),Special Drawing Rights (FMI),Sonderziehungsrecht,Special Drawing Rights
XFU,UIC-Franc,Franc UIC,Franco UIC,UIC-Franc,UIC franc
XOF,CFA Franc BCEAO ?,Franc CFA - BCEAO ?,Franco CFA Occidental,CFA-Franc (BCEAO),Franco CFA BCEAO
XPD,Palladium,Palladium,Onza de Paladio,Feinunze Palladium,Pal†dio
XPF,CFP Franc,Franc CFP,Franco CFP,CFP-Franc,Franco CFP
XPT,Platinum,Platine,Onza de Platino,Feinunze Platin,Platina
YER,Yemeni Rial,Riyal du YÇmen,Rial Yemen° (de Yemen),Jemen-Rial,Rial do IÇmene
ZAR,Rand,Rand,Rand Sudafricano,Rand,Rand
ZMK,Zambian Kwacha,Kwacha de Zambie,Kwacha Zambiano,Sambischer Kwacha,Kwacha
ZWD,Zimbabwean dollar,Dollar du Zimbabwe,Zimbabue: Nuevo D¢lar,Simbabwe-Dollar,Zimbabwe dollar
ZWL,Zimbabwe Dollar,Dollar du Zimbabwe,D¢lar Zimbabuense,Simbabwe-Dollar,Zimbabwe dollar
