"AED,UAE Dirham,Dirham des ÉAUnis,Dirham de los EÁU,VAE-Dirham,Dirham dos Emirados UAE?????"
"CLF,Unidades de fomento,Unité d'investissement,Unidades de Fomento Chilenas,Unidades de fomento,Unidade de Fomento,Unidades de fomento"
"CLP,Chilean Peso,Peso Chilien,Peso chileno,Chilenischer Peso,Peso chileno,?????"
"CNY,Yuan Renminbi,Yuan Ren-Min-Bi,Yuan Renminbi de China,Renminbi Yuan,Renminbi,???"
"COP,Colombian Peso,Peso Colombien,Peso colombiano,Kolumbianischer Peso,Peso colombiano,????????"
"COU,Unidad de Valor Real,Unidad de Valor Real,Unidad de valor Colombiana,Unidad de Valor real,Unidade de Valor Real,Unidad de Valor Real"
"CRC,Costa Rican Colon,Colon de Costa Rica,Colón Costarricense,Costa-Rica-Colón,Colon da Costa Rica,?????????"
"CUC,Peso Convertible,Peso Convertible,Peso Convertible,Kubanischer Peso,Cuban convertible peso,????"
"CUP,Cuban Peso,Peso Cubain,Peso cubano,Konvertibler Peso ,Peso cubano,???????"
"CVE,Cape Verde Escudo,Escudo du Cap-Vert,Escudo Caboverdiano,Kap-Verde-Escudo,Escudo cabo-verdiano,????????????"
"CYP,Cypriot pound,Livre Chypriote,Libra Chipriota,Zypern-Pfund,Libra cipriota,????????"
"CZK,Czech Koruna,Couronne Tchèque,Koruna Checo,Tschechische Krone,Coroa,???????"
"DEM,German mark,Mark Allemand,Marco Alemán,Deutsche Mark,Marco alemão,????????"
"DJF,Djibouti Franc,Franc de Djibouti,Franco Yibutiano,Dschibuti-Franc,Franco do Djibuti,???????"
"DKK,Danish Krone,Couronne Danoise,Corona Danesa,Dänische Krone,Coroa dinamarquesa,??????????"
"DOP,Dominican Peso,Peso Dominicain,Peso Dominicano,Dominikanischer Peso,Peso,???????"
"DZD,Algerian Dinar,Dinar Algérien,Dinar Algerino,Algerischer Dinar,Dinar argelino,????????????"
"EEK,Kroon,Couronne Estonienne,Corona Estonia,Estnische Krone,Coroa estoniana,????"
"EGP,Egyptian Pound,Livre Égyptienne,Libra Egipcia,Ägyptisches Pfund,Libra egípcia,????????"
"ERN,Nakfa,Nakfa,Nakfa Eritreo,Nakfa,Nakfa,????"
"ESP,Spanish peseta,Peseta Espagnole,Peseta Española,Peseta,Peseta espanhola,???"
"ETB,Ethiopian Birr,Birr Éthiopien,Birr Etíope,Birr,Birr etíope,??"
"EUR,Euro,Euro,Euro,Euro,Euro,???"
"FIM,Finnish markka,Mark Finlandais,Marco Finlandés,Finnmark,Marca finlandesa,???????????"
"FJD,Fiji Dollar,Dollar de Fidji,Dólar Fijiano,Fidschi-Dollar,Dólar das Fiji,???????"
"FKP,Falkland Islands Pound,Livre de Falkland,Libra Malvinense,Falkland-Pfund,Libra das Malvinas,?????????????"
"FRF,French franc,Franc Français,Franco Francés,Französischer Franc,Franco francês,????????"
"GBP,Pound Sterling,Livre Sterling,Libra Esterlina,Pfund Sterling,Libra Esterlina,UK???"
"GEL,Lari,Lari,Lari Georgiano,Lari,Lari,??"
"GHC,Ghanaian cedi,Ghana: Cedi,Ghana: Cedi,Ghana: Cedi,Gana: cedi,???"
"GHS,Cedi,Ghana Cedi,Cedi Ghanés,Ghana Cedi,Cedi,Cedi"
"GIP,Gibraltar Pound,Livre de Gibraltar,Libra de Gibraltar,Gibraltar-Pfund,Libra de Gibraltar,??????????"
"GMD,Dalasi,Dalasi,Dalasi Gambiano,Dalasi,Dalasi,???"
"GNF,Guinea Franc,Franc Guinéen,Franco Guineano,Guinea-Franc,Franco da Guiné,???????"
"GRD,Greek Drachma,Drachme Grecque,Dracma Griega,Drachme,Fracma,????"
"GTQ,Quetzal,Quetzal,Quetzal Guatemalteco,Quetzal,Quetzal guatemalteco,????"
"GYD,Guyana Dollar,Dollar de Guyane,Dólar Guyanés,Guyana-Dollar,Dólar da Guiana,???????"
"HKD,Hong Kong Dollar,Dollar de Hong-Kong,Dólar de Hong Kong,Hongkong-Dollar,Dólar de Hong Kong,????"
"HNL,Lempira,Lempira,Lempira Hondureño,Lempira,Lempira,????"
"HRK,Croatian Kuna,Kuna,Kuna Croata,Kuna,Kuna,???"
"HTG,Gourde,Gourde,Gourde Haitiano,Gourde,Gourde,????"
"HUF,Forint,Forint,Forint Húngaro,Forint,Forint,?????"
"IDR,Rupiah,Rupiah,Rupiah Indonesia,Rupiah,Rupia indonésia,???"
"IEP,Irish pound,Livre Irlandaise,Libra Irlandesa,Irisches Pfund,Libra irlandesa,??????????"
"ILS,New Israeli Sheqel,Nouvel Israëli sheqel,Nuevo Shéquel Israelí,Schekel,Shekel,?????"
"INR,Indian Rupee,Roupie Indienne,Rupia India,indische Rupie,Rupia indiana,???????"
"IQD,Iraqi Dinar,Dinar Iraquien,Dinar Iraquí,Irak-Dinar,Dinar iraquiano,?????????"
"IRR,Iranian Rial,Rial Iranien,Rial Iraní,Iranischer Rial,Rial iraniano,???????"
"ISK,Iceland Krona,Couronne Islandaise,Króna Islandesa,Isländische Krone,Krona islandesa,???????????"
"ITL,Italian Lira,Lire Italienne,Lira Italiana,Italienische Lira,Lira italiana,???????"
"JMD,Jamaican Dollar,Dollar Jamaïcain,Dólar Jamaicano,Jamaika-Dollar,Dólar jamaicano,????????"
"JOD,Jordanian Dinar,Dinar Jordanien,Dinar Jordano,Jordan-Dinar,Dinar jordano,??????????"
"JPY,Yen,Yen,Yen Japonés,Yen,Iene  ,?"
"KES,Kenyan Shilling,Shilling du Kenya,Chelín Keniata,Kenia-Schilling,Xelim queniano,????????"
"KGS,Som,Som,Som Kirguís (de Kirguistán),Som,Som,???????"
"KHR,Riel,Riel,Riel Camboyano,Riel,Riel,???"
"KMF,Comoro Franc,Franc des Comores,Franco Comoriano (de Comoras),Komoren-Franc,Franco das Comoros,???????"
"KPW,North Korean Won,Won de la Corée du Nord,Won Norcoreano,Nordkoreanischer Won,Won norte coreano,???"
"KRW,Won,Won,Won Surcoreano,Südkoreanischer Won,Won sul coreano,???"
"KWD,Kuwaiti Dinar,Dinar Koweïtien,Dinar Kuwaití,Kuwait-Dinar,Dinar do Kuwait,???????????"
"KYD,Cayman Islands Dollar,Dollar des Iles Caïmanes,Dólar Caimano (de Islas Caimán),Kaiman-Dollar,Dólar das Ilhas Caimão,????????"
"KZT,Tenge,Tenge,Tenge Kazajo (de Kazajistán),Tenge,Tenge,???"
"LAK,Kip,Kip,Kip Lao,Kip,Kip,???"
"LBP,Lebanese Pound,Livre Libanaise,Libra Kibanesa,Libanesisches Pfund,Libra libanesa,????????"
"LKR,Sri Lanka Rupee,Roupie de Sri Lanka,Rupia de Sri Lanka,Sri-Lanka-Rupie,Rupia do Sri Lanka,?????????"
"LRD,Liberian Dollar,Dollar Libérien,Dólar Liberiano,liberianischer Dollar,Dólar da Libéria,???????"
"LSL,Loti,Loti,Loti Lesothense (de Lesotho),Loti,Loti,??"
"LTL,Lithuanian Litas,Litas Lituanien,Litas Lituano,Litas,Litas,???"
"LUF,Luxembourg franc,Franc Luxembourgeois,Franco Luxemburgués,Luxemburgischer Franc,Franco luxemburguês,???????????"
"LVL,Latvian Lats,Lats Letton,Lat Letón,Lats,Lats,???"
"LYD,Libyan Dinar,Dinar Libyen,Dinar Libio,Libyscher Dinar,Dinar da Líbia,?????????"
"MAD,Moroccan Dirham,Dirham Marocain,Dirham Marroquí,Marokkanischer Dirham,Dirham marroquino,??????????"
"MDL,Moldovan Leu,Leu de Moldovie,Leu Moldavo,Moldau-Leu,Leu,???????"
"MGA,Malagasy Ariary,Malagasy Ariary,Ariary Malgache,Ariary,Ariary,????"
"MKD,Denar,Denar,Denar Macedonio,Denar,Denar,???????????"
"MMK,Kyat,Kyat,Kyat Myanmaro,Kyat,Kyat,????"
"MNT,Tugrik,Tugrik,Tughrik Mongol,Tugrik,Tugrik,?????"
"MOP,Pataca,Pataca,Pataca de Macao,Pataca,Pataca,???"
"MRO,Ouguiya,Ouguija,Ouguiya Mauritana,Ouguiya,Ouguiya,???"
"MTL,Maltese lira,Lire Maltaise,Lira Maltesa,Maltesische Lira,Lira maltesa,??????"
