1,323,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,325,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,330,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,331,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,334,011,1,United States,Alabama,-6,25,53,22,Montgomery,US dollar ($)(USD),English,4661900,2008
1,336,011,1,United States,North Carolina,-5,25,59,21,Raleigh,US dollar ($)(USD),English,9222414,2008
1,337,011,1,United States,Louisiana,-6,26,41,24,Baton Rouge,US dollar ($)(USD),English,4410796,2008
1,339,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,340,011,1,U.S. Virgin Islands,,-4,28,46,35,Charlotte Amalie,US dollar ($)(USD),English,108448,2007
1,341,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,345,011,1,Cayman Islands,,-5,27,42,35,George Town,Cayman Is dollar (KYD),English,70000,2006
1,347,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,351,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,352,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,360,011,1,United States,Washington,-8,23,46,16,Olympia,US dollar ($)(USD),English,6549224,2008
1,361,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,369,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,380,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,385,011,1,United States,Utah,-7,23,52,17,Salt Lake City,US dollar ($)(USD),English,2736424,2008
1,386,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,401,011,1,United States,Rhode Island,-5,26,55,15,Providence,US dollar ($)(USD),English,1050788,2008
1,402,011,1,United States,Nebraska,-6,23,58,17,Lincoln,US dollar ($)(USD),English,1783432,2008
1,403,011,1,Canada,Alberta,-7,24,45,7,Edmonton,Canadian dollar ($) (CAD),English/French,3585142,2008
1,404,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,405,011,1,United States,Oklahoma,-6,25,46,21,Oklahoma City,US dollar ($)(USD),English,3617316,2008
1,406,011,1,United States,Montana,-7,24,47,14,Helena,US dollar ($)(USD),English,967440,2008
1,407,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,408,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,409,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,410,011,1,United States,Maryland,-5,26,52,19,Annapolis,US dollar ($)(USD),English,5633597,2008
1,411,011,1,,Information,,,,,,,,,
1,412,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,413,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,414,011,1,United States,Wisconsin,-6,23,62,14,Madison,US dollar ($)(USD),English,5627967,2008
1,415,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,416,011,1,Canada,Ontario,-5,25,55,14,Toronto,Canadian dollar ($) (CAD),English/French,12928996,2008
1,417,011,1,United States,Missouri,-6,24,56,20,Jefferson City,US dollar ($)(USD),English,5911605,2008
1,418,011,1,Canada,Quebec,-5,25,58,13,Quebec City,Canadian dollar ($) (CAD),English/French,7750504,2008
1,419,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,423,011,1,United States,Tennessee,-5,25,53,20,Nashville,US dollar ($)(USD),English,6214888,2008
1,424,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,425,011,1,United States,Washington,-8,23,46,16,Olympia,US dollar ($)(USD),English,6549224,2008
1,430,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,432,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,434,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,435,011,1,United States,Utah,-7,23,52,17,Salt Lake City,US dollar ($)(USD),English,2736424,2008
1,438,011,1,Canada,Quebec,-5,25,58,13,Quebec City,Canadian dollar ($) (CAD),English/French,7750504,2008
1,440,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,441,011,1,Bermuda,,-4,27,48,26,Hamilton,Bermudian dollar (BMD),English/Portuguese,66163,2007
1,442,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,443,011,1,United States,Maryland,-5,26,52,19,Annapolis,US dollar ($)(USD),English,5633597,2008
1,450,011,1,Canada,Quebec,-5,25,58,13,Quebec City,Canadian dollar ($) (CAD),English/French,7750504,2008
1,456,011,1,,International call,,,,,,,,,
1,464,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,469,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,470,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,473,011,1,Grenada,,-4,28,48,39,St. George?s,E Caribbean dollar (XCD),English/Patois,110000,2005
1,475,011,1,United States,Connecticut,-5,26,53,17,Hartford,US dollar ($)(USD),English,3501252,2008
1,478,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,479,011,1,United States,Arkansas,-6,24,56,21,Little Rock,US dollar ($)(USD),English,2855390,2008
1,480,011,1,United States,Arizona,-7,23,53,21,Phoenix,US dollar ($)(USD),English,6500180,2008
1,484,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,500,011,1,,Communications Services,,,,,,,,,
1,501,011,1,United States,Arkansas,-6,24,56,21,Little Rock,US dollar ($)(USD),English,2855390,2008
1,502,011,1,United States,Kentucky,-5,25,55,20,Frankfort,US dollar ($)(USD),English,4269245,2008
1,503,011,1,United States,Oregon,-8,24,38,17,Salem,US dollar ($)(USD),English,3747455,2008
1,504,011,1,United States,Louisiana,-6,26,41,24,Baton Rouge,US dollar ($)(USD),English,4410796,2008
1,505,011,1,United States,New Mexico,-7,24,47,23,Santa Fe,US dollar ($)(USD),English,1984356,2008
1,506,011,1,Canada,New Brunswick,-4,26,57,14,Fredericton,Canadian dollar ($) (CAD),English/French,734000,2008
1,507,011,1,United States,Minnesota,-6,25,50,14,Saint Paul,US dollar ($)(USD),English,5220393,2008
1,508,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,509,011,1,United States,Washington,-8,23,46,16,Olympia,US dollar ($)(USD),English,6549224,2008
1,510,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,512,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,513,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,514,011,1,Canada,Quebec,-5,25,58,13,Quebec City,Canadian dollar ($) (CAD),English/French,7750504,2008
1,515,011,1,United States,Iowa,-6,24,55,17,Des Moines,US dollar ($)(USD),English,3002555,2008
1,516,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,517,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008
1,518,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,519,011,1,Canada,Ontario,-5,26,49,12,Toronto,Canadian dollar ($) (CAD),English/French,12928996,2008
1,520,011,1,United States,Arizona,-7,23,53,21,Phoenix,US dollar ($)(USD),English,6500180,2008
1,530,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,540,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,541,011,1,United States,Oregon,-8,24,38,17,Salem,US dollar ($)(USD),English,3747455,2008
1,551,011,1,United States,New Jersey,-5,26,53,17,Trenton,US dollar ($)(USD),English,8682661,2008
1,555,011,1,,Directory Assistance,,,,,,,,,
1,557,011,1,United States,Missouri,-6,25,49,18,Jefferson City,US dollar ($)(USD),English,5911605,2008
1,559,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,561,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,562,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,563,011,1,United States,Iowa,-6,24,55,17,Des Moines,US dollar ($)(USD),English,3002555,2008
1,564,011,1,United States,Washington,-8,23,46,16,Olympia,US dollar ($)(USD),English,6549224,2008
1,567,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,570,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,571,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,573,011,1,United States,Missouri,-6,25,49,18,Jefferson City,US dollar ($)(USD),English,5911605,2008
1,574,011,1,United States,Indiana,-5,25,53,17,Indianapolis,US dollar ($)(USD),English,6376792,2008
1,575,011,1,United States,New Mexico,-7,24,47,23,Santa Fe,US dollar ($)(USD),English,1984356,2008
1,580,011,1,United States,Oklahoma,-6,25,46,21,Oklahoma City,US dollar ($)(USD),English,3617316,2008
1,585,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,586,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008
1,600,011,1,,Special needs,,,,,,,,,
1,601,011,1,United States,Mississippi,-6,26,42,22,Jackson,US dollar ($)(USD),English,2938618,2008
1,602,011,1,United States,Arizona,-7,23,53,21,Phoenix,US dollar ($)(USD),English,6500180,2008
1,603,011,1,United States,New Hampshire,-5,26,55,15,Concord,US dollar ($)(USD),English,1315809,2008
1,604,011,1,Canada,British Columbia,-8,24,40,12,Victoria,Canadian dollar ($) (CAD),English/French,4381603,2008
1,605,011,1,United States,South Dakota,-6,24,51,16,Pierre,US dollar ($)(USD),English,804194,2008
1,606,011,1,United States,Kentucky,-5,25,55,20,Frankfort,US dollar ($)(USD),English,4269245,2008
1,607,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,608,011,1,United States,Wisconsin,-6,23,62,14,Madison,US dollar ($)(USD),English,5627967,2008
1,609,011,1,United States,New Jersey,-5,26,53,17,Trenton,US dollar ($)(USD),English,8682661,2008
1,610,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,611,011,1,,Repair Service,,,,,,,,,
1,612,011,1,United States,Minnesota,-6,25,50,14,Saint Paul,US dollar ($)(USD),English,5220393,2008
1,613,011,1,Canada,Ontario,-5,26,49,12,Toronto,Canadian dollar ($) (CAD),English/French,12928996,2008
1,614,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,615,011,1,United States,Tennessee,-6,25,53,20,Nashville,US dollar ($)(USD),English,6214888,2008
1,616,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008
1,617,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,618,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,619,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,620,011,1,United States,Kansas,-6,24,52,19,Topeka,US dollar ($)(USD),English,2802134,2008
1,623,011,1,United States,Arizona,-7,23,53,21,Phoenix,US dollar ($)(USD),English,6500180,2008
1,626,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,627,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,628,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,630,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,631,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,636,011,1,United States,Missouri,-6,25,49,18,Jefferson City,US dollar ($)(USD),English,5911605,2008
1,641,011,1,United States,Iowa,-6,24,55,17,Des Moines,US dollar ($)(USD),English,3002555,2008
1,646,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,647,011,1,Canada,Ontario,-5,26,49,12,Toronto,Canadian dollar ($) (CAD),English/French,12928996,2008
1,649,011,1,Turks & Caicos Islands,,-5,27,47,31,Cockburn Town,US dollar ($)(USD),English,30600,2008
1,650,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,651,011,1,United States,Minnesota,-6,25,50,14,Saint Paul,US dollar ($)(USD),English,5220393,2008
1,660,011,1,United States,Missouri,-6,25,49,18,Jefferson City,US dollar ($)(USD),English,5911605,2008
1,661,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,662,011,1,United States,Mississippi,-6,26,42,22,Jackson,US dollar ($)(USD),English,2938618,2008
1,664,011,1,Montserrat,,-4,28,47,37,Plymouth Brades ,E Caribbean dollar (XCD),English,4488,2005
1,669,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,670,011,1,N. Mariana Islands,,10,15,49,39,Saipan,US dollar ($)(USD),English/Chamorro,86616,2007
1,671,011,1,Guam,,10,15,47,42,Hagåtña,US dollar ($)(USD),English/Chamorro,173456,2007
1,678,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,679,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008
1,682,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,684,011,1,American Samoa,,-11,17,59,60,Pago Pago,US dollar ($)(USD),English/Samoan,68200,2007
1,689,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,700,011,1,,Long Distance carrier,,,,,,,,,
1,701,011,1,United States,North Dakota,-6,24,52,13,Bismarck,US dollar ($)(USD),English,641481,2008
1,702,011,1,United States,Nevada,-8,23,51,19,Carson City,US dollar ($)(USD),English,2600167,2008
1,703,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,704,011,1,United States,North Carolina,-5,25,59,21,Raleigh,US dollar ($)(USD),English,9222414,2008
1,705,011,1,Canada,Ontario,-5,26,49,12,Toronto,Canadian dollar ($) (CAD),English/French,12928996,2008
1,706,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,707,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,708,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,709,011,1,Canada,Newfoundland,-4,26,59,10,St. John's,Canadian dollar ($) (CAD),English/French,508944,2008
1,710,011,1,,U.S. Government,,,,,,,,,
1,711,011,1,,Relay Service for TTY,,,,,,,,,
1,712,011,1,United States,Iowa,-6,24,55,17,Des Moines,US dollar ($)(USD),English,3002555,2008
1,713,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,714,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,715,011,1,United States,Wisconsin,-6,23,62,14,Madison,US dollar ($)(USD),English,5627967,2008
1,716,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,717,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,718,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008
1,719,011,1,United States,Colorado,-7,24,50,18,Denver,US dollar ($)(USD),English,4939456,2008
1,720,011,1,United States,Colorado,-7,24,50,18,Denver,US dollar ($)(USD),English,4939456,2008
1,724,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008
1,727,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,731,011,1,United States,Tennessee,-6,25,53,20,Nashville,US dollar ($)(USD),English,6214888,2008
1,732,011,1,United States,New Jersey,-5,26,53,17,Trenton,US dollar ($)(USD),English,8682661,2008
1,734,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008
1,737,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008
1,740,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008
1,747,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,754,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,757,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,758,011,1,Saint Lucia,,-4,28,47,37,Castries,E Caribbean dollar (XCD),English/French Creole,160765,2005
1,760,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,762,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,763,011,1,United States,Minnesota,-6,25,50,14,Saint Paul,US dollar ($)(USD),English,5220393,2008
1,764,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
1,765,011,1,United States,Indiana,-5,25,53,17,Indianapolis,US dollar ($)(USD),English,6376792,2008
1,767,011,1,Dominica,,-4,28,46,36,Roseau,E Caribbean dollar (XCD),English,72514,2008
1,769,011,1,United States,Mississippi,-6,26,42,22,Jackson,US dollar ($)(USD),English,2938618,2008
1,770,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008
1,772,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,773,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,774,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,775,011,1,United States,Nevada,-8,24,42,18,Carson City,US dollar ($)(USD),English,2600167,2008
1,778,011,1,Canada,British Columbia,-8,24,40,12,Victoria,Canadian dollar ($) (CAD),English/French,4381603,2008
1,779,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008
1,780,011,1,Canada,Alberta,-7,24,45,7,Edmonton,Canadian dollar ($) (CAD),English/French,3585142,2008
1,781,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008
1,784,011,1,St Vincent & the Grenadines,,-4,28,48,38,Kingstown,E Caribbean dollar (XCD),English,120000,2008
1,785,011,1,United States,Kansas,-6,24,52,19,Topeka,US dollar ($)(USD),English,2802134,2008
1,786,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008
1,787,011,1,Puerto Rico ,,-4,26,63,35,San Juan,US dollar ($)(USD),Spanish/English,3994259,2007
1,800,011,1,,Toll Free,,,,,,,,,
1,801,011,1,United States,Utah,-7,23,52,17,Salt Lake City,US dollar ($)(USD),English,2736424,2008
1,802,011,1,United States,Vermont,-5,26,54,15,Montpelier,US dollar ($)(USD),English,621270,2008
1,803,011,1,United States,South Carolina,-5,25,58,22,Columbia,US dollar ($)(USD),English,4407709,2008
1,804,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008
1,805,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008
